Element,line,A1_Table9,A4_Table9,hden_4,hden_41,hden_42,hden_39
H_delta,4101.73,25.7,25.3,25.58,25.13,25.12,25.13
H_gamma,4340.46,46.2,45.8,46.44,47.25,46.52,47.27
[OIII],4363,13.8,11,12.43,11.01,9.12,14.09
HeI,4471,2.7,1.2,4.07,4.23,4.29,4.04
[OIII],4958.91,347,310,387.44,340.88,288.67,426.75
[OIII],5007,1037,926,1157.67,1018.45,862.38,1275.27
[CLIII],5517.71,1.5,0.7,0.87,0.77,0.67,0.96
[CLIII],5537.87,1.1,0.6,1.7,1.65,1.57,1.71
HeI,5875.64,9.9,3.6,12.72,12.73,13.09,12.12
H_alfa,6562.81,283,271,280.89,292.47,292.39,293
[NII],6583,187,7.8,548.94,615.16,681.27,486.24
HeI,6678,1.7,1.4,3.2,3.28,3.25,3.14
[SII],6716,17.4,2.2,26.44,26.64,25.78,26.21
[SII],6730.82,15.5,2,47.44,50.78,51.74,48.14
HeI,7065,2.4,0.5,5.81,5.92,6.03,5.7
[NeIII],3868.8,108,90,130.49,128.71,126.74,131.84
[NeIII],3967.5,45.6,40.1,39.77,39.21,38.61,40.19
