Element,line,A1_Table9,A4_Table9,hden_4,hden_41,hden_42,hden_39
H_delta,4101.73,25.7,25.3,25.74,25.69,25.09,25.13
H_gamma,4340.46,46.2,45.8,46.5,46.53,46.56,46.47
[OIII],4363,13.8,11,12.83,11.11,9.3,14.4
HeI,4471,2.7,1.2,4.46,4.56,4.67,4.37
[OIII],4958.91,347,310,395.06,344.62,289.32,438.26
[OIII],5007,1037,926,1180.03,1029.53,865.75,1307.57
[CLIII],5517.71,1.5,0.7,0.89,0.78,0.68,0.99
[CLIII],5537.87,1.1,0.6,1.73,1.68,1.6,1.75
HeI,5875.64,9.9,3.6,13.59,13.89,14.23,13.29
H_alfa,6562.81,283,271,292.37,292.33,292.37,292.55
[NII],6583,187,7.8,573.44,639.95,704.58,509.62
HeI,6678,1.7,1.4,3.5,3.57,3.65,3.43
[SII],6716,17.4,2.2,26.4,26.04,26.37,26.42
[SII],6730.82,15.5,2,50.32,51.18,51.79,49.22
HeI,7065,2.4,0.5,6.45,6.54,6.64,6.35
[NeIII],3868.8,108,90,136.9,134.79,132.46,138.68
[NeIII],3967.5,45.6,40.1,41.71,41.05,40.34,42.26
