Element,line,A1_Table9,A4_Table9,hden_4,hden_41,hden_42,hden_39
H_delta,4101.73,25.7,25.3,25.07,25.05,25.03,25.07
H_gamma,4340.46,46.2,45.8,47.26,47.25,46.52,46.43
[OIII],4363,13.8,11,13.49,11.59,9.46,14.94
HeI,4471,2.7,1.2,4.44,4.25,4.33,3.99
[OIII],4958.91,347,310,397.25,344.1,288.41,441.5
[OIII],5007,1037,926,1186.96,1026.67,861.62,1319.33
[CLIII],5517.71,1.5,0.7,0.9,0.79,0.69,1
[CLIII],5537.87,1.1,0.6,1.75,1.7,1.61,1.77
HeI,5875.64,9.9,3.6,12.5,12.85,13.24,12.18
H_alfa,6562.81,283,271,281.87,293.13,293.22,293.32
[NII],6583,187,7.8,586.01,656.62,724.95,518.8
HeI,6678,1.7,1.4,3.22,3.3,3.4,3.14
[SII],6716,17.4,2.2,28.46,28.8,29.04,28.09
[SII],6730.82,15.5,2,53.32,54.84,56.06,51.59
HeI,7065,2.4,0.5,5.85,5.98,6.11,5.72
[NeIII],3868.8,108,90,137.67,135.55,133.25,139.26
[NeIII],3967.5,45.6,40.1,41.95,41.3,40.59,42.45
