Element Line[A] ALLER_1972(I/I(Hbet) FERREIRA_2010(I/I(Hbet) Pottasch_2003(I/I(Hbet) Pottasch_2003(I/I(Hbet)_corrected hden_40 hden_42 hden_44
[SII] 4068 2.7 0.73 6.80 3.93 12.71 18.32 25.31
[SII] 4076 0.900 0.73 2.10 1.21 4.11 5.93 8.18
H_delta 4101.73 - 22.43 42.40 24.51 25.65 25.75 25.82
CII 4267 - - 0.72 0.42 0.62 0.56 0.49
H_gamma 4340 - 45.85 81.00 46.82 46.63 46.76 46.87
[OIII] 4363 - - 0.27 0.16 3.47 2.54 1.67
HeI 4471 3.2 1.92 4.20 2.43 5.08 5.16 5.25
[OIII] 5006.84 29.000 58.69 43.00 24.86 569.14 399.48 244.84
[CLII] 5517.71 - - 0.35 0.20 0.57 0.42 0.3
[CLII] 5537.87 - 0.43 0.47 0.27 1.12 1.01 0.86
[NII] 5754.61 4.7 2.57 3.70 2.14 7.79 10.73 14.33
HeI 5875.64 10.8 11.00 11.30 6.53 14.7 14.96 15.24
[SIII] 6312 - - 0.86 0.50 2.84 2.68 2.48
H_ALFA 6562.81 302 297.23 520.00 300.58 287.53 285.68 284.43
[NII] 6583.45 228 253.76 490.00 283.24 409.44 504.19 572.2
[SII] 6716.44 40.5 9.11 18.00 10.40 15.66 14.88 13.84
[SII] 6730.82 - 12.41 25.00 14.45 30.23 30.15 28.93
[ArIII] 7135.79 - - 8 4.62 29.13 29.37 29.57
[OII] 7319.99 - - 11.40 6.59 15.46 21.81 28.43
[OII] 7330 - - 9.4 5.43 8.32 11.74 15.3
