Element Line[A] ALLER_1972(I/I(Hbet) FERREIRA_2010(I/I(Hbet) Pottasch_2003(I/I(Hbet) Pottasch_2003(I/I(Hbet)_corrected hden_40 hden_42 hden_44
[SII] 4068 2.7 0.73 6.80 3.93 15 21.33 29.07
[SII] 4076 0.900 0.73 2.10 1.21 4.85 6.9 9.4
H_delta 4101.73 - 22.43 42.40 24.51 25.59 25.67 25.73
CII 4267 - - 0.72 0.42 0.64 0.59 0.52
H_gamma 4340 - 45.85 81.00 46.82 46.64 46.78 46.87
[OIII] 4363 - - 0.27 0.16 5.18 3.77 2.45
HeI 4471 3.2 1.92 4.20 2.43 5.27 5.38 5.51
[OIII] 5006.84 29.000 58.69 43.00 24.86 718.68 507.61 312.51
[CLII] 5517.71 - - 0.35 0.20 0.67 0.5 0.36
[CLII] 5537.87 - 0.43 0.47 0.27 1.31 1.2 1.02
[NII] 5754.61 4.7 2.57 3.70 2.14 9.47 12.98 17.2
HeI 5875.64 10.8 11.00 11.30 6.53 15.45 15.8 16.18
[SIII] 6312 - - 0.86 0.50 3.51 3.28 3.01
H_ALFA 6562.81 302 297.23 520.00 300.58 287.78 286.12 285.06
[NII] 6583.45 228 253.76 490.00 283.24 449.71 555.43 632.65
[SII] 6716.44 40.5 9.11 18.00 10.40 18.01 17.01 15.7
[SII] 6730.82 - 12.41 25.00 14.45 34.74 34.45 32.22
[ArIII] 7135.79 - - 8 4.62 33.13 33.31 33.46
[OII] 7319.99 - - 11.40 6.59 19.14 26.96 34.88
[OII] 7330 - - 9.4 5.43 10.3 14.51 18.77
