Element Line[A] ALLER_1972(I/I(Hbet) FERREIRA_2010(I/I(Hbet) Pottasch_2003(I/I(Hbet) Pottasch_2003(I/I(Hbet)_corrected hden_40 hden_42 hden_44
[SII] 4068 2.7 0.73 6.80 3.93 9.89 14.31 19.72
[SII] 4076 0.900 0.73 2.10 1.21 3.2 4.63 6.38
H_delta 4101.73 - 22.43 42.40 24.51 25.87 17.63 26.06
CII 4267 - - 0.72 0.42 0.53 0.46 0.38
H_gamma 4340 - 45.85 81.00 46.82 47.01 47.14 47.24
[OIII] 4363 - - 0.27 0.16 0.55 0.29 0.15
HeI 4471 3.2 1.92 4.20 2.43 4.91 4.91 4.89
[OIII] 5006.84 29.000 58.69 43.00 24.86 111.35 57.55 27.72
[CLII] 5517.71 - - 0.35 0.20 0.43 0.3 0.21
[CLII] 5537.87 - 0.43 0.47 0.27 0.85 0.74 0.6
[NII] 5754.61 4.7 2.57 3.70 2.14 6.91 8.83 10.83
HeI 5875.64 10.8 11.00 11.30 6.53 13.19 13.91 13.86
[SIII] 6312 - - 0.86 0.50 2.01 1.83 1.65
H_ALFA 6562.81 302 297.23 520.00 300.58 286.6 284.8 283.48
[NII] 6583.45 228 253.76 490.00 283.24 450.86 502.72 517.54
[SII] 6716.44 40.5 9.11 18.00 10.40 11.49 10.75 9.73
[SII] 6730.82 - 12.41 25.00 14.45 23.04 22.51 20.95
[ArIII] 7135.79 - - 8 4.62 23.39 22.9 22.52
[OII] 7319.99 - - 11.40 6.59 15.81 18.86 21.55
[OII] 7330 - - 9.4 5.43 8.51 10.15 11.6
